id,content
09436,หาบเร่แผงลอยบริเวณหน้าโค้ง(เทววสถาน)โบถ์พราม์ห.เสาชิงช้า.เขตพระนคร.เจ้าหน้าที่มาสั่งเก็บแล้ว.ยังแอบมาขายต่อเหมือนไม่มีอะไรเกิดขึ้น.เจอ.จ่าย.จบ.หรือไม่.ทีม อ.ชัชชาติช่วยตรวจสอบให้ด้วยครับ.
09437,ป้ายซอย ปรีดีพนมยงค์ 20แยก2 ชำรุด จึงขอให้ดำเนินการแก้ไขครับ
09438,ไฟส่องสว่างเสียง 2ดวงครับ เร่งดำเนินการแก้ไขด้วยครับ
09439,เสาไฟภายในซอยปรีดี31 (สุขุมวิท71) ปูนที่อยู่บริเวณโคนเสามีการกระเทาะออก ตัวเสาเริ่มมีการเอียงเล็กน้อย กลัวว่าถ้าปล่อยไว้นาน อาจเกิดอันตรายได้ครับ
09440,1.แจ้งเรื่องน้ำท่วมขังในซอยรามอินทรา 39 เป็นเวลา 2 วันแล้ว
09441,วางต้นไม้บนทางเท้า คนแทบไม่มีที่เดิน รบกวนตักเตือนด้วยครับ
09442,"มาตรวจสอบการประกอบการของอู่ออโต้อิตาเลียได้ครับ มีคนอยู่ตลอด รถที่ซ่อมก่อความเดือดร้อนรำคาญ คืนนี้ส่งเสียงกระแทกอื้ออึงยามค่ำ เอารถตู้มาจอดบังมุมกล้องตอนเลื่อนรถ 
 ตอนนี้เอาออกมาจอดริมถนน เจ้าหน้าที่สามารถเข้ามาตรวจสอบหรือรอตรวจวัดเสียงได้เลยครับ"
09443,ถนนนราธิวาส จากแยกรัชดา มุ่งหน้าแยกถนนจันทน์ ไม่เคยเปิดไฟถนน ฟุตบาทมืดสนิท
09444,สวัสดีค่ะ อยากสอบถามเกี่ยวกับพื้นที่จอดรถของคอนโดในเขตพื้นที่กทม.ค่ะ ว่ามีกฎหมายอย่างไรบ้าง เบื้องต้นอาศัยอยู่ที่ Airlink residence condo ถ.ร่มเกล้า แขวงคลองสามวา เขตลาดกระบัง ทางนิติได้ส่งเอกสารตัวนี้มาให้ แต่จากการไปหาข้อมูลมาเพิ่มเติม คำนวณแล้วพื้นที่จอดรถที่ยื่นขออนุญาต ไม่เป็นไปตามกฎหมายค่ะ
09445,จอดรถกีดขวางพื้นที่รับส่งผู้โดยสารจากรถขนส่งสาธารณะและกีดขวางช่องจราจร
09446,เรื่องน้ำในคลองออเงินน้อยเขตสายไหมมีผักตบชวาจำนวนมากทำให้น้ำคลองไม่สามารถระบายน้ำได้อย่างรวดเร็ว จึงทำให้น้ำเอ่อเข้าท่วมที่พักอาศัยของประชาชน
09447,ถนนเป็นหลุม รถต้องชะลอความเร็ว อาจทำให้รถได้รับความเสียหาย ยางแตก รถมอไชค์คว่ำได้ครับ
09448,"เขตภาษีเจริญ
 พื้นที่ชุมชน มีทางเท้าดีพอควร มีรถมอเตอร์วิ่งหนาแน่น บนทางเท้ามากมาย ถนนโล่ง ยังวิ่ง ไม่สนอะไรทั้งนั้นเป็นนิสัยถาวรไปแล้ว 
 
 อยากเห็นทางเท้าปลอดภัย
 ทุกคนเคารพกฏหมาย
 อาจเกิดจาก คนคุมกฏหมายไม่มีประสิทธิภาพ หย่อนยาน
 แจ้งปัญหาก็ ไม่จริงจัง ถ่ายรูปแล้วจบ ว่าแก้ปัญหาแล้ว 
 อยากเห็นเมืองน่าอยู่ คนมีจิตสำนึก ไม่มักง่าย"
09449,น้ำท่วมชุมชนเคหะรามอินทรา กม.4 ซ.รามอินทรา 39 แขวงอนุสาวรีย์ เขตบางเขน รบกวนส่งเจ้าหน้าที่ลงพื้นที่ด่วน ขอบคุณค่า ข้อมูล FM91 Trafficpro
09450,ถนนเป็นหลุม ขรุขระหลายตำแหน่ง รถกระแทกเวลาขับผ่าน ช่วงน้ำท่วมมองไม่เห็นซอยปุณณวิถี 53 หมู่บ้านเมืองทอง 4 สุขุมวิท101
09451,ป้ายหาเสียง ป้ายโฆษณา ทิ้งเกลื่อย ไม่เคยมีหน่วยงานมาจัดการ เกิดเป็นเชื้อโรค น้ำขัง
09452,เนื่องจากน้ำท่วมซอย ถ้าต้องการไปซื้ออาหารต้องใช้ทางเดินเลียบคลองตรงซอยนวมินทร์42 แยก8 เพื่อออกไปกลางซอย เดินเลียบคลองมาเจอสายไฟ จากฝั่งตรงข้ามคลองโยงมาอีกฝั่งคลองโดยที่สายไฟพันตรงราวทางเดินและโยงเข้าบ้านหลังนึง มีสองเส้นที่โยงมา ทำให้เวลาเดินต้องข้ามสายนึง และก้มหลบอีกสายนึง อันตรายมากถ้าสายไฟมีไฟรั่วอาจเกิดอันตรายถึงขึ้นเสียชีวิตได้
09453,"ไหแดงแยกนี้นานมากๆๆ ปล่อยให้แต่เส้นหลักทำไมมีไฟแดงไม่ระบุเวลาในแต่ละเส้นทางเฉลี่ยๆ ให้เท่าๆกัน 
 
 ไฟแดงแยกนี้นานทำไมไม่รู้จักแก้ไขสักที?"
09454,คนเร่ร่อน พักอาศัยใต้สะพานลอยคนข้าม ทางลงสะพานภูมิพล เขตยานนาวา
09455,1. มีรถเข็นจอดขวางเลนซ้ายสุดบริเวณแยกห้วยขวาง ช่วงเวลาประมาณ 17:00 น. แทบทุกวัน กีดขวางรถที่ต้องการเลี้ยวซ้าย
09456,ยังน้ำท่วมในบ้านอยู่เลยค่ะ ฝนตกทุกครั้ง รบกวนและ ขอร้องให้เจ้าหน้า บ้านเรือนจะต่ำกว่าถนนเพราะฉะนั้นต้องรีบเร่งระบายน้ำให้เร็วที่สุด ที่ระบายน้ำออกให้บ้างเถอะค่ะแป๊บเดียวก็ยังดี เนื่องจากส่วนใหญ่ซอยศรีนครินทร์ 9 กับ 11 บ้านเรือนจะต่ำกว่าถนนเพราะฉะนั้นต้องรีบเร่งระบายน้ำ
09457,ซอยพัฒนาการ 29 สุดซอยน้ำยังไม่แห้ง ฝนก็จะตกอีกแล้ว ทำไมไม่สูบน้ำคะ ต้องรอท่วมสูงก่อนเหรอคะ
09458,"เขตบางพลัด
 ซอยจรัญสนิทวงค์65
 แขวงบางบำหรุ..ริมคลองบางบำหรุ(ไก้ลซอยจรัญ65/แยก21)มีราวกันตกชำรุด..ได้ลัม..มีคนเดินผ่านสัญจรเป็นประจำ..เกรงไม่ปลอดภ้ย)ชำรุด2ช่วงราวรั้วเหล็กกันตก"
09459,"เขตบางพลัด
 บริเวณไก้ลเขื่อนคลองวัดวิมุติยาราม..ถนนจรัญสนิทวงค์(ไก้ลรร.ประมุขเก่า)..มีราวกันตก..ชำรุด..ตกหล่นหายไป2ช่วง(ประมาณ10เมตร)มีนักเรียน/ประชาชนเดินริมเขื่อนตลอดเวลา"
09460,ถนนหนาโรงเรียนออเงินชำรุดเป็นหลุมขนาดใหญ่คงจะเกิดอุบัติเหตุได้ต้นไม้ที่ถูกตัดมีกิ่งไม้แขวนอยู่บนสายไฟไม่มีการเอาออกหวั่นจะหล่นลงมาหัวนักเรียนได้🤔🤔🤔
09461,"สายสื่อสารในซอย พหลโยธิน 35 แยก 9 โชคอนันต์ 3 ยาวลงมาแตะพื้น รถที่ผ่านไปผ่านมาเกี่ยวโดนสายหลายครั้งเกรงจะลากสายไฟทั้งหมดลงมา และสายไฟบริเวณนี้ก็รกมากมีถัลวัลย์เกี่ยวเต็มจนเสาเอียง และระเกะระกะมาก สายไฟหน้าพื้นที่รกร้างบางจุดยาวลงมาในระดับที่รถกระบะหลังคาสูงขับผ่านแล้วเกี่ยวสายได้เลย
 
 ตอนนี้แก้ไขปัญหาเฉพาะหน้าโดยการเอาสายมาแอบ/ผูกไว้กับบ้านข้างทางให้ก่อน แต่ควรตัด หรือรวมเก็บให้ดีกว่านี้ก่อนจะเกิดอุบัติเหตุ"
09462,ไฟถนนทั้งซอยติดอยู่ดวงเดียว จาก 4 ดวง เคยแจ้งไปแล้วไม่มีความคืบหน้าใดๆ ไม่มีการแก้ไข
09463,ไฟจราจรถนนสาทรทำไม่ไม่ sync on the whole street เขียวตรงนี้แต่ข้างหน้าแดง ก็ไปไม่ได้
